Begin_date,End_date,Begin_indx,End_indx,kpcs
30/06/2019,30/07/2019,901,906,10.81
31/07/2019,30/08/2019,906,907,10.82
31/08/2019,29/09/2019,907,914,10.79
30/09/2019,30/10/2019,914,924,10.74
31/10/2019,28/11/2019,924,996,10.73
29/11/2019,30/12/2019,996,1120,10.77
31/12/2019,30/01/2020,1120,1263,10.92
31/01/2020,28/02/2020,1263,1340,10.86
29/02/2020,30/03/2020,1340,1381,10.84
31/03/2020,29/04/2020,1381,1383,10.85
30/04/2020,30/05/2020,1383,1395,10.87
31/05/2020,29/06/2020,1395,1405,10.79
30/06/2020,30/07/2020,1405,1416,10.82
31/07/2020,30/08/2020,1416,1417,10.78
31/08/2020,29/09/2020,1417,1427,10.77
30/09/2020,30/10/2020,1427,1481,10.86
31/10/2020,29/11/2020,1481,1571,10.85
30/11/2020,30/12/2020,1571,1779,10.71
31/12/2020,30/01/2021,1779,2079,10.72
31/01/2021,27/02/2021,2079,2270,10.75
28/02/2021,30/03/2021,2270,2473,10.84
31/03/2021,29/04/2021,2473,2656,10.8
30/04/2021,30/05/2021,2656,2773,10.71
31/05/2021,29/06/2021,2773,2791,10.73
30/06/2021,30/07/2021,2791,2802,10.69
31/07/2021,30/08/2021,2802,2818,10.72
31/08/2021,29/09/2021,2818,2851,10.8
30/09/2021,30/10/2021,2851,2966,10.97
31/10/2021,29/11/2021,2966,3057,10.79
30/11/2021,30/12/2021,3057,3312,10.78
31/12/2021,30/01/2022,3312,3320,10.96
31/01/2022,27/02/2022,3320,3461,10.92
28/02/2022,30/03/2022,3461,3489,10.97
31/03/2022,29/04/2022,3489,3564,10.86
30/04/2022,30/05/2022,3564,3567,10.93